City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Nhulunbuy,AU,83.01,light rain,-12.2333,136.7667,East Arnhem Real Estate
538,Maceio,BR,72.84,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
541,Mogok,MM,80.28,few clouds,22.9167,96.5,MOGOK HILL HOTEL
546,Ixtapa,MX,71.22,overcast clouds,20.7,-105.2,hotel la terminal
551,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
562,Fare,PF,81.03,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
565,Alugan,PH,79.45,scattered clouds,12.2188,125.4808,JM Lodge
570,Oriximina,BR,73.69,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
571,Cockburn Town,TC,77.45,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
574,Dekar,BW,74.66,overcast clouds,-21.5333,21.9333,
577,Turan,VN,78.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
579,Dharmanagar,IN,84.76,overcast clouds,24.3667,92.1667,Juri Lodge
581,Port Shepstone,ZA,76.21,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
583,Camopi,GF,70.99,overcast clouds,3.1655,-52.3158,La pousada
584,Neiafu,TO,81.46,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
585,Bouca,CF,82.17,scattered clouds,6.5105,18.2733,
587,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
591,Pontal Do Parana,BR,75.11,light rain,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
595,Porto Novo,BJ,80.19,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
596,Sikonge,TZ,72.73,overcast clouds,-5.6333,32.7667,Sikonge Ndawvukilo Lodge
597,Puerto Baquerizo Moreno,EC,77.27,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
598,La Union,PE,75.22,overcast clouds,-5.4,-80.75,Los Portales
599,Rahuri,IN,82.69,broken clouds,19.3833,74.65,P.W.D RESTHOUSE
602,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
604,Rawson,AR,71.83,clear sky,-43.3002,-65.1023,Hosteria Sampedro
607,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
608,Sur,OM,76.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
609,Gopalpur,IN,83.44,few clouds,19.2667,84.9167,Gopalpur Palm Resort
610,Singapore,SG,77.14,heavy intensity rain,1.2897,103.8501,The Fullerton Hotel Singapore
612,Bodden Town,KY,77.94,clear sky,19.2833,-81.25,Will T Place
614,Rusape,ZW,74.95,light rain,-18.5278,32.1284,Surrey Lodge
615,Jutai,BR,70.72,overcast clouds,-5.1833,-68.9,
616,Kasane,BW,73.51,light rain,-17.8167,25.15,The Old House
621,Ouadda,CF,78.55,few clouds,8.0777,22.4007,
622,Nosy Varika,MG,76.69,light rain,-20.5833,48.5333,Hotel Volazara
